#threads time1D time2D speedup1D speedup2D
1 0.950141 0.935296 1 1
2 0.514911 0.465122 1.84525 2.01086
3 0.340412 0.335799 2.79115 2.78528
4 0.259627 0.241472 3.65964 3.87331
5 0.325876 0.326831 2.91565 2.86171
6 0.285578 0.296604 3.32708 3.15335
7 0.296836 0.310946 3.2009 3.00791
8 0.284896 0.297168 3.33505 3.14737
9 0.30768 0.327545 3.08808 2.85548
10 0.276771 0.31464 3.43295 2.97259
11 0.29172 0.301956 3.25703 3.09746
12 0.289576 0.300853 3.28114 3.10881
13 0.304379 0.300216 3.12157 3.11541
14 0.297294 0.301013 3.19596 3.10716
15 0.283432 0.278455 3.35227 3.35888
16 0.293185 0.283494 3.24076 3.29918
