idx,l,r,length
0,903686,926461,22776
1,297457,323477,26021
2,412858,436726,23869
3,184729,211590,26862
4,911819,929062,17244
5,467109,493596,26488
6,973317,999999,26683
7,436516,458925,22410
8,43929,52930,9002
9,806024,809399,3376
10,135198,144229,9032
11,530850,547591,16742
12,761639,792416,30778
13,751855,753705,1851
14,163522,172712,9191
15,212357,236157,23801
16,478486,490365,11880
17,785720,804179,18460
18,342325,370386,28062
19,460876,493603,32728
20,664288,686274,21987
21,760798,778612,17815
22,649323,679304,29982
23,201308,203681,2374
24,112581,131227,18647
25,130269,141042,10774
26,609234,639923,30690
27,416170,436232,20063
28,201477,217346,15870
29,425187,432335,7149
30,110640,117394,6755
31,533123,541609,8487
32,810462,841464,31003
33,879379,883567,4189
34,59025,59599,575
35,330966,352043,21078
36,376877,392419,15543
37,381139,393001,11863
38,588178,620538,32361
39,230587,253409,22823
40,589426,619173,29748
41,287171,294034,6864
42,188261,210812,22552
43,300539,325297,24759
44,801017,821118,20102
45,710912,736064,25153
46,564162,589286,25125
47,750337,772839,22503
48,242185,252160,9976
49,184816,196894,12079
50,413394,417727,4334
51,959690,979088,19399
52,270319,300905,30587
53,863294,869315,6022
54,272976,276940,3965
55,464450,485014,20565
56,300418,323351,22934
57,829873,837087,7215
58,746002,771957,25956
59,911745,927609,15865
60,833307,856809,23503
61,197998,222089,24092
62,730240,750025,19786
63,787396,813089,25694
64,459243,478931,19689
65,6966,16100,9135
66,490160,522132,31973
67,729591,759443,29853
68,751014,778381,27368
69,547239,570351,23113
70,439445,448222,8778
71,88036,118098,30063
72,126897,150257,23361
73,878662,895355,16694
74,888084,888873,790
75,626613,656573,29961
76,789449,792720,3272
77,896002,927138,31137
78,704554,730718,26165
79,464747,469164,4418
80,907293,918400,11108
81,194304,203480,9177
82,912015,944110,32096
83,764090,769174,5085
84,994737,999467,4731
85,244076,249611,5536
86,866253,876310,10058
87,806111,814987,8877
88,527545,541938,14394
89,874104,900893,26790
90,705958,718098,12141
91,219012,243419,24408
92,357828,361260,3433
93,911811,915809,3999
94,198485,205087,6603
95,867883,884790,16908
96,807042,832179,25138
97,680007,709544,29538
98,150469,174656,24188
99,187265,216226,28962
100,429359,450548,21190
101,203308,220050,16743
102,96157,104182,8026
103,241326,248499,7174
104,425422,453121,27700
105,979865,990365,10501
106,665789,695575,29787
107,10767,40367,29601
108,34697,38464,3768
109,345235,351767,6533
110,860120,873586,13467
111,492164,517739,25576
112,906593,935522,28930
113,544787,575564,30778
114,617721,628470,10750
115,632472,649539,17068
116,81028,81878,851
117,335894,345069,9176
118,618696,647249,28554
119,232874,240283,7410
120,294903,309258,14356
121,654946,673605,18660
122,661308,672274,10967
123,946467,973046,26580
124,455227,478038,22812
125,350897,361341,10445
126,781280,812662,31383
127,867300,876205,8906
128,334881,343013,8133
129,645261,646258,998
130,89045,113260,24216
131,296343,318568,22226
132,249639,278107,28469
133,576607,583136,6530
134,438525,453112,14588
135,326383,342333,15951
136,784073,786571,2499
137,814452,824256,9805
138,941836,970355,28520
139,201720,212176,10457
140,413413,424937,11525
141,366330,386696,20367
142,218688,220891,2204
143,361423,375998,14576
144,141278,141555,278
145,805345,807455,2111
146,632257,638960,6704
147,342308,354095,11788
148,206683,215139,8457
149,726386,735045,8660
150,390657,392282,1626
151,305520,313032,7513
152,46509,61889,15381
153,538305,553527,15223
154,883544,910394,26851
155,617022,622408,5387
156,882043,890877,8835
157,902512,923212,20701
158,225936,241139,15204
159,999949,999999,51
160,345733,349112,3380
161,447704,449180,1477
162,835942,855113,19172
163,604461,604881,421
164,742399,747571,5173
165,407913,429736,21824
166,684031,692201,8171
167,635698,655728,20031
168,208794,227067,18274
169,290664,318510,27847
170,331256,347780,16525
171,465119,493824,28706
172,293809,307027,13219
173,522770,528821,6052
174,296423,308103,11681
175,47403,60119,12717
176,201040,214040,13001
177,265583,268001,2419
178,201984,215732,13749
179,599032,600083,1052
180,858690,864943,6254
181,244505,256891,12387
182,401373,429017,27645
183,256928,276898,19971
184,670353,686915,16563
185,834339,858319,23981
186,114953,117358,2406
187,56532,83719,27188
188,407181,421743,14563
189,520354,531259,10906
190,365368,382936,17569
191,465164,480647,15484
192,390081,418787,28707
193,142836,172267,29432
194,711806,735814,24009
195,627635,630518,2884
196,103223,103875,653
197,997924,999999,2076
198,640343,665455,25113
199,688924,707589,18666
200,389798,419486,29689
201,554655,568792,14138
202,379179,401198,22020
203,268185,300841,32657
204,518540,537528,18989
205,13096,37918,24823
206,392674,420889,28216
207,204690,210314,5625
208,565755,578079,12325
209,285421,316177,30757
210,435863,460275,24413
211,490077,500945,10869
212,209771,221989,12219
213,180044,183748,3705
214,739602,758886,19285
215,811246,814504,3259
216,977795,994051,16257
217,179502,180389,888
218,672967,673158,192
219,619849,636296,16448
220,179826,211422,31597
221,286991,307937,20947
222,273248,286098,12851
223,211229,224150,12922
224,692686,712527,19842
225,788031,801093,13063
226,132180,134649,2470
227,786528,803198,16671
228,137922,156470,18549
229,533994,558507,24514
230,569015,588789,19775
231,72231,83977,11747
232,799386,802297,2912
233,208362,222499,14138
234,891720,910301,18582
235,308313,329559,21247
236,656555,656700,146
237,657121,671039,13919
238,905037,926757,21721
239,881903,903799,21897
240,667638,684450,16813
241,210552,224215,13664
242,929763,958102,28340
243,543939,547164,3226
244,747230,771725,24496
245,344627,365820,21194
246,962230,962729,500
247,81540,105129,23590
248,632959,655830,22872
249,802022,810643,8622
250,505934,522339,16406
251,201016,206706,5691
252,947321,963633,16313
253,539083,561919,22837
254,679785,681139,1355
255,375112,390137,15026
256,92460,98640,6181
257,681202,690232,9031
258,519402,541451,22050
259,824973,855278,30306
260,473041,494239,21199
261,247444,260004,12561
262,827416,859924,32509
263,188599,218651,30053
264,594074,594087,14
265,350466,370133,19668
266,8342,23671,15330
267,442533,449324,6792
268,118198,147539,29342
269,81539,88735,7197
270,593041,597105,4065
271,978299,999999,21701
272,238276,256255,17980
273,886079,887618,1540
274,584631,587933,3303
275,329867,351171,21305
276,797888,812520,14633
277,355317,368673,13357
278,603671,607373,3703
279,620980,627587,6608
280,514520,518898,4379
281,269347,280445,11099
282,367160,393382,26223
283,83372,97297,13926
284,812456,824562,12107
285,444614,466555,21942
286,597682,603821,6140
287,899205,922552,23348
288,718878,745890,27013
289,378326,391604,13279
290,767031,794981,27951
291,541688,573908,32221
292,530598,554370,23773
293,969809,973728,3920
294,483105,505196,22092
295,890287,897736,7450
296,903437,906533,3097
297,348966,350222,1257
298,806741,817975,11235
299,81641,112643,31003
300,161627,192196,30570
301,528438,554511,26074
302,325408,340446,15039
303,575001,606317,31317
304,455991,460019,4029
305,286470,294407,7938
306,117053,119552,2500
307,454182,472689,18508
308,388049,403550,15502
309,894660,920296,25637
310,955386,985088,29703
311,913589,918465,4877
312,825946,838369,12424
313,312612,323775,11164
314,441611,451116,9506
315,980080,985565,5486
316,524040,527830,3791
317,63932,66261,2330
318,358822,359116,295
319,264938,279885,14948
320,354509,383367,28859
321,495099,513484,18386
