idx,l,r,length
0,653378,653836,459
1,38899,40683,1785
2,266648,266773,126
3,995482,996232,751
4,545113,546983,1871
5,492431,494039,1609
6,589889,591624,1736
7,512543,514333,1791
8,119038,120499,1462
9,724362,724371,10
10,47881,48928,1048
11,674232,674380,149
12,868845,868902,58
13,409705,410430,726
14,824892,826501,1610
15,274633,275741,1109
16,870076,870271,196
17,219371,221211,1841
18,882182,883430,1249
19,528926,530517,1592
20,247119,247280,162
21,775803,776156,354
22,560112,561399,1288
23,731413,733371,1959
24,483810,485677,1868
25,624645,626559,1915
26,130908,132000,1093
27,230092,231672,1581
28,48373,49323,951
29,914557,916082,1526
30,558324,560073,1750
31,924027,924158,132
32,16859,17386,528
33,418513,420245,1733
34,251373,253013,1641
35,549088,549993,906
36,578791,580547,1757
37,66535,66568,34
38,701527,701773,247
39,147696,148149,454
40,264499,265937,1439
41,597589,599272,1684
42,82888,84826,1939
43,504608,504888,281
44,879981,880853,873
45,514401,515267,867
46,990443,991472,1030
47,325764,326366,603
48,107746,108718,973
49,859738,861530,1793
50,226336,227440,1105
51,494013,494256,244
52,837344,837927,584
53,413935,415873,1939
54,281112,281568,457
55,119641,120434,794
56,175150,175551,402
57,655935,657213,1279
58,304592,306400,1809
59,95096,97092,1997
60,343045,344609,1565
61,197878,198850,973
62,281818,282597,780
63,178031,179698,1668
64,938979,939278,300
65,484952,486333,1382
66,584925,585167,243
67,296344,296853,510
68,353036,354539,1504
69,573802,574466,665
70,618207,618753,547
71,683154,684046,893
72,35882,36537,656
73,505039,506616,1578
74,604831,604831,1
75,574490,576105,1616
76,181453,182887,1435
77,366193,367108,916
78,411642,412388,747
79,901081,901884,804
80,114733,114822,90
81,511211,513235,2025
82,954979,956794,1816
83,921932,922851,920
84,769280,769965,686
85,667100,668826,1727
86,891433,893222,1790
87,886846,888166,1321
88,575172,575682,511
89,331260,332868,1609
90,951653,951870,218
91,842004,842326,323
92,679744,680792,1049
93,454348,455431,1084
94,754934,756723,1790
95,843247,843942,696
