idx,l,r,length
0,28075,28113,39
1,31516,31569,54
2,516684,516765,82
3,78680,78787,108
4,139751,139864,114
5,198551,198578,28
6,794052,794115,64
7,467525,467625,101
8,521937,522040,104
9,761393,761448,56
10,355770,355811,42
11,74138,74182,45
12,409454,409507,54
13,400876,400915,40
14,497187,497225,39
15,942325,942346,22
16,48595,48665,71
17,574868,574993,126
18,893331,893369,39
19,48482,48587,106
20,293452,293541,90
21,696870,696989,120
22,126106,126181,76
23,921976,921989,14
24,601874,601977,104
25,315151,315256,106
26,457367,457448,82
27,411785,411847,63
28,706203,706226,24
29,10862,10896,35
30,845909,846006,98
31,576884,576904,21
32,752270,752376,107
33,813017,813064,48
34,504301,504369,69
35,126015,126059,45
36,439379,439474,96
37,898096,898197,102
38,679241,679245,5
39,957230,957264,35
40,538419,538525,107
41,287200,287227,28
42,304340,304351,12
43,177173,177222,50
44,384051,384055,5
45,18848,18942,95
46,451829,451891,63
47,506244,506340,97
48,183624,183686,63
49,342882,342909,28
50,634220,634322,103
51,514705,514740,36
52,553170,553178,9
53,3070,3093,24
54,115343,115387,45
55,550969,550990,22
56,742191,742217,27
57,37645,37764,120
58,757157,757173,17
59,673654,673752,99
60,157024,157078,55
61,193297,193347,51
62,635828,635835,8
63,318873,318925,53
64,412405,412497,93
65,486980,486983,4
66,441170,441200,31
67,671563,671650,88
68,1260,1290,31
69,944428,944487,60
70,941136,941252,117
71,572761,572835,75
72,280187,280284,98
73,455307,455347,41
74,986700,986717,18
75,269422,269532,111
76,162586,162646,61
77,770704,770721,18
78,277333,277424,92
79,862180,862303,124
80,391310,391316,7
81,597668,597689,22
82,127140,127241,102
83,887802,887916,115
84,83217,83276,60
85,782812,782865,54
86,916621,916707,87
87,4871,4928,58
88,760470,760546,77
89,511588,511654,67
90,577117,577151,35
91,871553,871593,41
92,483193,483254,62
93,148033,148122,90
94,44145,44239,95
95,996423,996519,97
96,621045,621050,6
97,109138,109211,74
98,48491,48583,93
99,252751,252755,5
100,231008,231047,40
101,837721,837785,65
102,228045,228151,107
103,18509,18518,10
104,68392,68488,97
105,771876,771976,101
106,209704,209777,74
107,112849,112942,94
108,452706,452795,90
109,455615,455699,85
110,704302,704388,87
111,855929,856006,78
112,800500,800574,75
113,709100,709127,28
114,811012,811050,39
115,405517,405517,1
116,824201,824319,119
117,858990,859010,21
118,455780,455861,82
119,975082,975096,15
120,823065,823120,56
121,916176,916183,8
122,760488,760531,44
123,458832,458881,50
124,423876,423999,124
125,307559,307655,97
126,891183,891248,66
127,931728,931754,27
128,327384,327444,61
129,185192,185225,34
130,954578,954654,77
131,573112,573211,100
132,490306,490389,84
133,763132,763217,86
134,776526,776578,53
135,329848,329931,84
136,270072,270160,89
137,309383,309423,41
138,790207,790242,36
139,578099,578128,30
140,998972,999017,46
141,137998,138026,29
142,185092,185192,101
143,831143,831169,27
144,447661,447780,120
145,680738,680783,46
146,665610,665721,112
147,181815,181858,44
148,103686,103811,126
149,606495,606595,101
150,869501,869583,83
151,460573,460695,123
152,464723,464787,65
153,539033,539095,63
154,247656,247667,12
155,953158,953272,115
156,770427,770474,48
157,68888,68995,108
158,276204,276285,82
159,385490,385544,55
160,602888,602951,64
161,304206,304318,113
162,824305,824322,18
163,312989,313028,40
164,81947,82036,90
165,668770,668779,10
166,112689,112732,44
167,604747,604801,55
168,3075,3087,13
169,139681,139756,76
170,750201,750226,26
171,729618,729640,23
172,737508,737621,114
173,558754,558754,1
174,853471,853492,22
175,963191,963295,105
176,502578,502648,71
177,681465,681541,77
178,7973,8055,83
179,149950,149995,46
180,747171,747198,28
181,849596,849688,93
182,146861,146893,33
183,647497,647540,44
184,899703,899729,27
185,55905,55920,16
186,410778,410888,111
187,512690,512798,109
188,16917,16977,61
189,816533,816571,39
190,93620,93679,60
191,296283,296335,53
192,934509,934523,15
193,836448,836469,22
194,35415,35484,70
195,567546,567576,31
196,647651,647689,39
197,761535,761578,44
198,336261,336350,90
199,60009,60026,18
200,570957,571001,45
201,312642,312674,33
202,702228,702278,51
203,444604,444651,48
204,811069,811152,84
205,425354,425434,81
206,422096,422174,79
207,348101,348194,94
208,234263,234348,86
209,894814,894834,21
210,862516,862615,100
211,392626,392667,42
212,873921,873966,46
213,604663,604718,56
214,813600,813696,97
215,79326,79339,14
216,523162,523201,40
217,534989,535079,91
218,768270,768347,78
219,672706,672817,112
220,131406,131505,100
221,534215,534224,10
222,660112,660233,122
223,806838,806849,12
224,986714,986747,34
225,661358,661406,49
226,98272,98331,60
227,935662,935690,29
228,695771,695854,84
229,760033,760092,60
230,779635,779660,26
231,29554,29668,115
232,975517,975601,85
233,431036,431066,31
234,100577,100673,97
235,374668,374775,108
236,121425,121458,34
237,60090,60200,111
238,491341,491348,8
239,375700,375815,116
240,359888,359914,27
241,454278,454352,75
242,362471,362563,93
243,47388,47477,90
244,654330,654360,31
245,675638,675744,107
246,815426,815550,125
247,354038,354094,57
248,591284,591400,117
249,366161,366215,55
250,115978,115986,9
251,965144,965247,104
252,239123,239157,35
253,333085,333141,57
254,469180,469234,55
255,9273,9376,104
256,262750,262838,89
257,358761,358761,1
258,596486,596515,30
259,341272,341325,54
260,374865,374967,103
261,267524,267630,107
262,872072,872147,76
263,305517,305592,76
264,305005,305040,36
265,876816,876873,58
266,189619,189710,92
267,537455,537580,126
268,218620,218651,32
269,212708,212726,19
270,845841,845865,25
271,105374,105383,10
272,913410,913456,47
273,794682,794766,85
274,513339,513399,61
275,551270,551377,108
276,653294,653417,124
277,367569,367682,114
278,401732,401738,7
279,743967,744053,87
280,712699,712717,19
281,609369,609433,65
282,875315,875326,12
283,841399,841416,18
284,946207,946252,46
285,471880,471921,42
286,378219,378238,20
287,387854,387960,107
288,653448,653455,8
289,676552,676612,61
290,783713,783839,127
291,807765,807769,5
292,962294,962393,100
293,816491,816551,61
294,398235,398292,58
295,498788,498805,18
296,16131,16191,61
297,830520,830530,11
298,866987,867073,87
299,50232,50344,113
300,558628,558709,82
301,2094,2129,36
302,149140,149258,119
303,28891,28982,92
304,117543,117627,85
305,161621,161700,80
306,985186,985197,12
307,613479,613500,22
308,334928,334956,29
309,92768,92886,119
310,935404,935447,44
311,323505,323623,119
312,610078,610106,29
313,979844,979971,128
314,189571,189638,68
315,60679,60794,116
316,692920,693033,114
317,296335,296347,13
318,344256,344306,51
319,882735,882808,74
320,503148,503186,39
321,576532,576586,55
322,58700,58821,122
323,146519,146622,104
324,13749,13839,91
325,671642,671707,66
326,299082,299156,75
327,897273,897349,77
328,207429,207551,123
329,427794,427866,73
330,701158,701268,111
331,880103,880143,41
332,239433,239509,77
333,91240,91269,30
334,837180,837275,96
335,902866,902901,36
336,777810,777846,37
337,939830,939936,107
338,965418,965524,107
339,293843,293959,117
340,549275,549313,39
341,798575,798651,77
342,424683,424780,98
343,484296,484318,23
344,160094,160193,100
345,485363,485415,53
346,647714,647773,60
347,864998,865044,47
348,839867,839947,81
349,913104,913205,102
350,889994,890048,55
351,558894,558901,8
352,995879,995922,44
353,144386,144470,85
354,377014,377119,106
355,998940,999050,111
356,525286,525355,70
357,182808,182928,121
358,651635,651688,54
359,412913,412993,81
360,439407,439494,88
361,840502,840509,8
362,295083,295122,40
363,581707,581768,62
364,707064,707187,124
365,24268,24289,22
366,813834,813859,26
367,583224,583298,75
368,471977,472067,91
369,483901,484011,111
370,958946,958947,2
371,192800,192875,76
372,595254,595356,103
373,977654,977680,27
374,473396,473462,67
375,402935,403061,127
376,379688,379815,128
377,788318,788433,116
378,551986,552088,103
379,200788,200803,16
380,912544,912585,42
381,317968,318010,43
382,328294,328352,59
383,37394,37498,105
384,286529,286612,84
385,99217,99236,20
386,709542,709588,47
387,906495,906514,20
388,969662,969731,70
389,914844,914957,114
390,680890,680893,4
391,926409,926493,85
392,786064,786138,75
393,398033,398054,22
394,527409,527423,15
395,247694,247768,75
396,552098,552141,44
397,913235,913317,83
398,14777,14793,17
399,816415,816432,18
400,205332,205424,93
